1015310,37.592193,-121.33503
1024010,37.964095,-121.335438
1087510,37.914056,-121.289752
1019910,37.981269,-121.250083
1091610,37.593511,-121.338611
1015810,37.767234,-121.331393
1095710,37.239125,-120.397048
1026710,37.753616,-121.464719
1040410,37.081197,-120.498273
1009210,37.645838,-121.342906
10107010,37.971448,-121.246326
1036310,37.354293,-120.628773
1075210,38.103426,-120.921156
10111110,37.759465,-121.154902
1001010,37.822958,-121.291558
1000510,37.856421,-121.28201
1054010,37.783529,-121.2111
1091210,37.638037,-121.291379
1005610,37.949562,-121.292436
10105010,37.168987,-120.310405
1001510,37.797086,-121.300774
1073210,38.14089,-121.399039
1077310,38.053311,-121.37105
1026110,37.765737,-121.34483
1048610,37.78576,-121.305278
1099810,37.81593,-121.209617
10100910,37.779641,-121.186379
1022010,37.957353,-121.329364
1017910,37.988395,-121.251098
1013810,38.051239,-121.258982
